billing_month,season,avg_temperature_c,household_size,working_days,ownership_status,water_liter,electricity_kwh,gas_m3,energy_efficiency_rating,water_rate,electricity_rate,gas_rate
1,Winter,7.4,4,23.0,Rented,12166.0,534.66,146.05,A,0.001,0.15,0.09
2,Winter,11.7,1,26.0,Rented,3319.6,168.83,35.8,B,0.0018,0.14,0.08
6,Summer,26.7,5,27.0,Rented,16235.1,224.74,111.61,B,0.0013,0.18,0.06
8,Summer,29.4,4,24.0,Rented,12841.2,354.16,73.0,D,0.0016,0.16,0.07
12,Winter,13.2,1,24.0,Owned,3527.8,323.37,13.52,E,0.0012,0.19,0.06
12,Winter,9.8,5,23.0,Rented,13428.2,587.43,183.53,B,0.0015,0.12,0.07
8,Summer,29.8,2,23.0,Owned,6140.5,360.27,40.52,B,0.0017,0.15,0.07
12,Winter,9.1,3,20.0,Rented,10607.0,414.2,116.9,B,0.0013,0.15,0.08
12,Winter,13.0,2,28.0,Owned,8126.3,361.02,94.34,B,0.0011,0.13,0.09
7,Summer,30.3,5,28.0,Rented,14244.4,1203.85,100.15,B,0.0016,0.14,0.09
7,Summer,28.9,6,24.0,Rented,18390.6,650.44,110.9,B,0.0014,0.15,0.08
2,Winter,13.2,3,26.0,Rented,8736.1,220.6,119.88,D,0.002,0.13,0.07
12,Winter,13.1,2,26.0,Rented,6360.2,374.77,77.65,C,0.0012,0.14,0.07
12,Winter,10.4,6,28.0,Rented,13098.7,1368.61,214.47,D,0.001,0.19,0.06
7,Summer,28.8,1,23.0,Owned,3442.5,136.57,19.61,A,0.0018,0.16,0.09
1,Winter,11.4,6,19.0,Rented,17926.2,741.89,230.66,B,0.0015,0.15,0.08
2,Winter,8.6,6,26.0,Rented,19301.6,928.35,213.57,B,0.0014,0.15,0.06
2,Winter,13.0,3,28.0,Rented,9895.6,552.21,138.94,B,0.0012,0.13,0.1
2,Winter,15.9,3,27.0,Rented,8641.5,558.59,116.59,D,0.002,0.14,0.05
12,Winter,16.1,2,20.0,Owned,7459.0,444.01,73.49,D,0.0011,0.17,0.06
1,Winter,12.0,2,25.0,Rented,5689.9,278.98,76.91,A,0.0019,0.18,0.07
2,Winter,10.1,2,21.0,Owned,6970.5,225.89,75.47,A,0.0017,0.12,0.06
1,Winter,4.7,1,23.0,Rented,2817.5,144.44,32.49,B,0.0019,0.12,0.07
6,Summer,32.0,1,21.0,Rented,2958.4,168.89,22.73,B,0.0012,0.16,0.09
1,Winter,6.9,5,28.0,Owned,15289.0,572.51,208.58,B,0.0012,0.17,0.07
2,Winter,5.6,2,28.0,Owned,5919.0,297.7,76.94,C,0.0013,0.2,0.1
12,Winter,10.9,3,21.0,Rented,8681.9,477.53,114.72,A,0.0014,0.13,0.07
12,Winter,11.9,3,25.0,Owned,9450.6,524.92,112.58,C,0.0013,0.17,0.09
12,Winter,12.3,1,28.0,Owned,3258.7,157.3,32.71,C,0.0019,0.2,0.09
8,Summer,27.2,6,20.0,Rented,20778.1,1165.31,117.68,A,0.0012,0.18,0.06
12,Winter,7.8,6,21.0,Rented,15108.5,1124.15,256.05,B,0.0018,0.17,0.05
12,Winter,13.0,1,21.0,Rented,3315.5,165.09,40.81,A,0.0013,0.18,0.1
6,Summer,28.3,2,20.0,Rented,6247.1,198.08,44.76,A,0.0015,0.13,0.05
2,Winter,9.8,1,26.0,Rented,3064.7,166.27,40.86,D,0.0014,0.15,0.05
7,Summer,25.6,5,25.0,Owned,18336.7,978.22,88.62,A,0.0019,0.13,0.08
1,Winter,6.0,6,22.0,Owned,19365.9,1204.13,236.5,C,0.0014,0.14,0.09
6,Summer,26.1,5,26.0,Rented,18097.7,1083.05,98.95,B,0.002,0.16,0.09
2,Winter,13.8,5,23.0,Owned,16387.4,656.03,188.74,D,0.0016,0.14,0.08
1,Winter,9.8,6,22.0,Owned,21452.7,832.15,264.89,A,0.0012,0.16,0.07
12,Winter,10.9,5,19.0,Rented,15833.8,441.57,214.89,D,0.0012,0.13,0.09
8,Summer,27.3,3,26.0,Rented,10143.8,603.78,59.66,B,0.0014,0.17,0.06
7,Summer,31.2,1,27.0,Rented,2958.9,158.13,19.55,B,0.0018,0.15,0.05
12,Winter,10.4,5,23.0,Rented,15062.9,379.69,183.07,A,0.0016,0.2,0.06
2,Winter,8.1,3,25.0,Owned,9921.5,473.21,107.6,B,0.0013,0.12,0.05
12,Winter,11.4,1,23.0,Rented,2949.0,171.3,29.92,C,0.001,0.18,0.08
12,Winter,10.6,2,27.0,Rented,6117.7,483.61,83.45,C,0.0014,0.16,0.06
12,Winter,9.2,3,22.0,Rented,7915.9,582.81,131.04,D,0.0019,0.14,0.09
1,Winter,7.8,2,26.0,Rented,7435.9,278.96,90.54,D,0.0019,0.13,0.1
6,Summer,28.1,1,28.0,Owned,3553.2,175.58,23.07,B,0.0018,0.16,0.09
1,Winter,9.5,2,24.0,Owned,7060.2,333.7,73.46,A,0.0018,0.2,0.08
1,Winter,8.2,3,25.0,Owned,10521.0,593.7,107.34,B,0.0013,0.14,0.09
1,Winter,8.0,1,23.0,Rented,3022.2,244.36,13.89,A,0.0014,0.15,0.07
7,Summer,33.4,2,19.0,Owned,5708.7,425.2,37.09,D,0.0015,0.13,0.08
6,Summer,27.5,6,25.0,Owned,22197.6,1011.53,119.37,D,0.0014,0.18,0.06
1,Winter,5.1,1,23.0,Rented,3152.7,182.25,38.77,B,0.0011,0.16,0.09
6,Summer,26.0,3,21.0,Rented,8193.1,459.01,51.87,C,0.0014,0.18,0.09
8,Summer,29.8,1,26.0,Rented,3115.8,115.72,19.34,C,0.0014,0.13,0.1
2,Winter,11.8,4,21.0,Rented,13305.6,731.77,150.16,D,0.002,0.14,0.1
2,Winter,10.8,2,24.0,Rented,6888.0,432.91,72.9,A,0.0017,0.19,0.06
2,Winter,14.4,6,26.0,Owned,17089.8,1005.43,226.91,B,0.0015,0.15,0.09
6,Summer,26.9,1,23.0,Rented,3032.0,181.42,23.36,B,0.002,0.17,0.05
8,Summer,25.2,4,24.0,Rented,11587.8,709.77,88.91,C,0.001,0.16,0.06
8,Summer,28.3,2,20.0,Rented,6076.0,383.41,36.99,B,0.0016,0.14,0.09
7,Summer,30.5,3,27.0,Owned,10667.6,716.23,63.49,C,0.001,0.19,0.08
8,Summer,27.6,3,26.0,Owned,10118.7,366.47,58.37,C,0.002,0.2,0.06
1,Winter,9.4,6,26.0,Rented,19891.7,1389.01,264.42,B,0.0015,0.13,0.1
2,Winter,14.7,1,25.0,Rented,3490.9,168.74,43.98,D,0.0019,0.17,0.07
12,Winter,12.3,3,28.0,Rented,10150.2,435.41,118.78,B,0.0013,0.18,0.09
2,Winter,11.1,2,24.0,Rented,5185.8,285.32,76.59,B,0.0016,0.12,0.1
6,Summer,28.3,1,24.0,Rented,3682.9,179.04,18.05,D,0.0019,0.15,0.08
